source_id,text,label,label_encoded
1,"রাজধানীর ক্যান্টনমেন্ট থানা এলাকায় গতকাল শুক্রবার সকালে লিফট থেকে পড়ে আবু সুফিয়ান (৪৫) নামের এক নিরাপত্তাকর্মী মারা গেছেন। এ ছাড়া খিলগাঁওয়ে পুকুরে ডুবে এক শিশুর মৃত্যু হয়েছে। ক্যান্টনমেন্ট থানার উপপরিদর্শক (এসআই) লিয়াকত আলী সাংবাদিকদের জানান, নিহত সুফিয়ান বনানীর ডিওএইচএস এলাকার ৬ নম্বর সড়কের একটি বাড়ির নিরাপত্তাকর্মী ছিলেন। গতকাল সকাল সাড়ে আটটার দিকে তিনি ছয়তলা থেকে লিফটে করে নিচে নামছিলেন। মাঝখানে এসে লিফটটি হঠাৎ বন্ধ হয়ে যায়। আশপাশের লোকজন অনেক চেষ্টা করে কোনোমতে লিফটের দরজা ফাঁক করে সুফিয়ানকে লিফট থেকে নেমে আসতে বলেন। কিন্তু তিনি ভয় পেয়ে লিফট থেকে লাফ দিলে পা পিছলে মাথা ও পায়ে আঘাত পেয়ে ফাঁকা অংশ দিয়ে নিচে পড়ে যান। এতে তিনি ঘটনাস্থলেই মারা যান। জানা গেছে, সুফিয়ানের গ্রামের বাড়ি ফেনীর সোনাগাজী উপজেলায়। ঢাকা মেডিকেল কলেজ হাসপাতাল সূত্র জানায়, গতকাল দুপুরে খিলগাঁওয়ের শেখের জায়গায় অন্য শিশুদের সঙ্গে বাসার পার্শ্ববর্তী পুকুরে গোসল করতে নেমে পানিতে তলিয়ে যায় ১০ বছরের শিশু সালমা। প্রতিবেশীরা তাকে উদ্ধার করে ঢাকা মেডিকেলে নিয়ে গেলে কর্তব্যরত চিকিৎসক তাকে মৃত ঘোষণা করেন। সালমার বাবার নাম মিসির আলী। তাদের গ্রামের বাড়ি জামালপুরের ইসলামপুরে।",Human,0
2,"বাংলাদেশে নিযুক্ত মার্কিন রাষ্ট্রদূত ড্যান ডব্লিউ মজীনা গতকাল শুক্রবার সকালে গাজীপুরে যাওয়ার পথে অল্পের জন্য সড়ক দুর্ঘটনার হাত থেকে রক্ষা পেয়েছেন৷ কাপাসিয়া উপজেলায় সোলার ন্যানো িগ্রড নামের সৌরশক্তি উৎপাদনের একটি প্রকল্প পরিদর্শনে যাওয়ার সময় এ ঘটনা ঘটে৷ পুলিশ ও এলাকাবাসী সূত্রে জানা গেছে, সোলারিক কোম্পানির ওই প্রকল্পটি কাপাসিয়ার বারিষাব লোহাদী এলাকায় অবস্থিত৷ প্রকল্প পরিদর্শনের জন্য ড্যান মজীনা একটি জিপে করে সকাল ১০টার দিকে উপজেলায় পেঁৗছান৷ এরপর প্রকল্প এলাকায় যেতে জিপটি কাপাসিয়া-কিশোরগঞ্জ সড়ক থেকে ইট বিছানো কাঁচা রাস্তায় প্রবেশ করে। ওই সড়কের লোহাদী উচ্চবিদ্যালয়ের পাশে পৌঁছালে গাড়িটি নিয়ন্ত্রণ হারিয়ে রাস্তার পাশে একটি পুকুরের পাড়ে হেলে পড়ে। হেলে পড়ার স্থানের পাশে কমপক্ষে ১০ ফুট নিচু পুকুর রয়েছে। তবে পানিতে পড়ার আগেই চালকের দক্ষতায় িজপটি রক্ষা পায়। এ সময় মজীনাসহ অন্য আরোহীরা দ্রুত জিপ থেকে নেমে আসেন। কিছুদূর হাঁটার পর তাঁরা অন্য একটি গাড়িতে করে পরিদর্শনস্থলে পেঁৗছান৷",Human,0
3,"নীলফামারীর কিশোরগঞ্জে বিদ্যুতের তারে জড়িয়ে এমদাদুল হক (১৫) নামের এক নির্মাণশ্রমিকের মৃত্যু হয়েছে। গতকাল শুক্রবার সকালে উপজেলা খাদ্যগুদামের পেছনে একটি বাড়ির পানির ট্যাংক মেরামত করার সময় এ ঘটনা ঘটে। এমদাদুল উপজেলার বাহাগিলী ইউনিয়নের খামাতপাড়া গ্রামের আমিনুর রহমানের ছেলে। প্রত্যক্ষদর্শীরা জানান, এমদাদুল হক খাদ্যগুদাম এলাকায় মশিউর রহমানের বাড়ির নির্মাণকাজ করছিল। এ সময় পাশের বাড়ির মালিক লেবু মিয়া তাঁর পানির ট্যাংক মেরামতের জন্য তাকে ডেকে নেন৷ ওই বাড়ির ছাদে কাজ করার সময় পা পিছলে বিদ্যুতের তারে জড়িয়ে গেলে সে মারা যায়৷",Human,0
4,"শেরপুরের ঝিনাইগাতী উপজেলায় গতকাল শুক্রবার সড়ক দুর্ঘটনায় জনি বর্মণ (১১) নামে এক স্কুলছাত্র নিহত হয়েছে। জনি উপজেলার চেঙ্গুরিয়া গ্রামের ধর্ম চন্দ্র বর্মণের ছেলে৷ সে চেঙ্গুরিয়া সরকারি প্রাথমিক বিদ্যালয়ের চতুর্থ শ্রেণীর ছাত্র ছিল। স্থানীয় ও পুলিশ সূত্রে জানা গেছে, সকাল নয়টার দিকে জনি উপজেলার কালীবািড় বাজার এলাকায় সড়ক পার হচ্ছিল৷ এ সময় শেরপুরগামী একটি বালুবোঝাই ট্রাক তাকে চাপা দেয়। এতে ঘটনাস্থলেই সে মারা যায়। এ সময় উত্তেজিত জনতা ট্রাকটিকে চালকসহ আটক ও শেরপুর-ঝিনাইগাতী সড়ক অবরোধ করে রাখেন। খবর পেয়ে উপজেলা নির্বাহী কর্মকর্তা (ইউএনও) মোজাম্মেল হক ও পুলিশের কর্মকর্তারা ঘটনাস্থল পরিদর্শন করেন৷",Human,0
5,"ফরিদপুরে সাপের কামড়ে দুই শিক্ষার্থী নিহত হয়েছে। গত রোববার ও গতকাল সোমবার দিবাগত রাতে এ ঘটনা ঘটে। পারিবারিক সূত্রে জানা যায়, নিহত দুজনের একজন হলেন মালিগ্রাম প্রি-ক্যাডেট স্কুলের নার্সারি শ্রেণির ছাত্রী, টিক্কা হাওলাদারের মেয়ে মারিয়া আক্তার (৮)। অপরজন টিক্কার চাচাতো ভাই জাফর হাওলাদারের মেয়ে মালিগ্রাম সরকারি প্রাথমিক বিদ্যালয়ের চতুর্থ শ্রেণির শিক্ষার্থী জাহানারা আক্তার (১০)। ঘটনার সত্যতা নিশ্চিত করে ঘারুয়া ইউনিয়ন পরিষদের (ইউপি) চেয়ারম্যান সফিউদ্দিন মোল্লা জানান, জাহানারা গতকাল বিকেলে প্রকৃতির ডাকে সাড়া দিতে ঘরের পেছনে গেলে তাকে সাপ কামড় দেয়। প্রাথমিক অবস্থায় স্থানীয় ওঝা দিয়ে সাপের বিষ নামানোর চেষ্টা করা হয়। কিন্তু অবস্থার অবনতি হলে তাকে ফরিদপুর মেডিকেল কলেজ হাসপাতালে নেওয়া হয়। গতকাল দিবাগত রাতে তার মৃত্যু হয়। এদিকে মারিয়া ভাঙ্গার পার্শ্ববর্তী গোপালগঞ্জের মুকসুদপুর উপজেলার আলীপুর গ্রামে পদ্মপুকুর এলাকায় নানার বাড়িতে বেড়াতে গেলে রোববার তাকে সাপে কামড় দেয়। ওই রাতেই নানা বাড়িতে তার মৃত্যু হয়।",Human,0
6,"কুমিল্লার বুড়িচং উপজেলার রাজাপুর এলাকায় আজ রোববার সকাল পৌনে ১০টার দিকে চট্টগ্রাম থেকে ঢাকাগামী কনটেইনারবাহী ট্রেনের একটি বগির চারটি চাকা লাইনচ্যুত হয়েছে। এতে শেষ খবর পাওয়া পর্যন্ত ঢাকা-চট্টগ্রাম, চট্টগ্রাম-সিলেট ও নোয়াখালী-ময়মনসিংহ রুটে ট্রেন চলাচল বন্ধ রয়েছে। ফলে যাত্রীদের ভোগান্তি পোহাতে হচ্ছে। পূর্বাঞ্চল রেলওয়ের বিভাগীয় প্রকৌশলী এহসানুল হক ও হামিদুল হক জানান, বেলা সাড়ে ১১টার দিকে লাকসাম থেকে উদ্ধারকারী ট্রেন গিয়ে উদ্ধার তত্পরতা চালাচ্ছে। ট্রেনটি উদ্ধারে সময় লাগবে।",Human,0
7,"মুন্সিগঞ্জের সিরাজদিখান উপজেলায় দুটি বাসের মুখোমুখি সংঘর্ষে আগুন লেগে তিনজন নিহত হয়েছেন। উপজেলার ঢাকা-মাওয়া মহাসড়কের চালতিপাড়া এলাকায় আজ সোমবার দুপুর সাড়ে ১২টার দিকে এ দুর্ঘটনা ঘটে। দুর্ঘটনায় ১০ জন অগ্নিদগ্ধসহ ২০ জন আহত হয়েছেন। আহত লোকজনকে ঢাকা মেডিকেল হাসপাতালের বার্ন ইউনিটসহ বিভিন্ন হাসপাতালে ভর্তি করা হয়েছে। দুর্ঘটনার পর বিক্ষুব্ধ জনতা দুপুর সাড়ে ১২টা থেকে বেলা দুইটা পর্যন্ত ঢাকা-মাওয়া মহাসড়কে অবরোধ সৃষ্টি করলে যান চলাচল বন্ধ থাকে। পরে পুলিশ গিয়ে পরিস্থিতি স্বাভাবিক করে। পুলিশ ও স্থানীয় সূত্রে জানা যায়, সিরাজদিখানের চালতিপাড়া এলাকায় ঢাকা থেকে মাওয়াগামী গুনগুন পরিবহনের একটি বাসের সঙ্গে বিপরীতমুখী ইলিশ পরিবহনের বাসের মুখোমুখি সংঘর্ষ হয়। এতে গুনগুন পরিবহনের বাসে আগুন লেগে বাসের চালক বাদশা মিয়াসহ (৫০) তিনজন পুড়ে মারা যান। নিহত বাকি দুজনের পরিচয় পাওয়া যায়নি। সিরাজদিখান থানার ভারপ্রাপ্ত কর্মকর্তা (ওসি) আবুল বাশার জানান, দুর্ঘটনায় আগুনে পুড়ে নিহত তিনজনকে চেনা যাচ্ছে না। লাশের পরিচয় নিশ্চিতের জন্য ডিএনএ পরীক্ষা করতে হবে। এ ঘটনায় থানায় মামলা দায়েরের প্রস্তুতি চলছে।",Human,0
9,"সংযুক্ত আরব আমিরাতের দুবাইয়ে সড়ক দুর্ঘটনায় নিহত চার বাংলাদেশির মধ্যে দুজনের মরদেহ কাল মঙ্গলবার ভোরে ঢাকা এসে পৌঁছবে। যাঁদের মরদেহ আসছে তাঁরা হলেন, চাঁদপুরের আলমগীর ও মাছুম ঢালী। দুবাইয়ে নিযুক্ত বাংলাদেশের ফার্স্ট সেক্রেটারি (শ্রম) এ কে এম মিজানুর রহমান বলেন, কাল ভোরে এয়ার অ্যারাবিয়ার একটি ফ্লাইটে করে মরদেহ আসবে। সকালে মরদেহ দুটি হজরত শাহজালাল আন্তর্জাতিক বিমানবন্দরে এসে পৌঁছাবে। বাকিদের মরদেহও শিগগিরই দেশে পাঠানোর প্রক্রিয়া চলছে। উল্লেখ্য, ১০ মে দুবাইয়ে বাস ও ট্রাকের সংঘর্ষে চার বাংলাদেশিসহ ১৫ জন শ্রমিক নিহত হন। নিহত বাকি দুই বাংলাদেশি হলেন চট্টগ্রামের সীতাকুণ্ডের বজলুর হাসান ও সিলেটের জৈন্তাপুরের নজরুল ইসলাম। ওই ঘটনায় আহত ১৪ জনের মধ্যে নয়জন বাংলাদেশি। ক্যাম্প থেকে তাঁরা সবাই বাসে করে কর্মস্থলে যাচ্ছিলেন। হতাহতরা সবাই দুবাইয়ে ভারতীয় মালিকানাধীন ব্রাভো টেকনিক্যাল কন্সট্রাকশন কোম্পানিতে কর্মরত ছিলেন। বাস ও ট্রাকের দুজন চালকই ছিলেন পাকিস্তানের।",Human,0
11,"খাগড়াছড়ির দীঘিনালায় মাইনী নদীতে সাইদুল ইসলাম (১০) নামে একটি শিশু নিখোঁজ হয়েছে। গতকাল রোববার বিকেলে মাইনী নদীতে গোসল করতে নেমে সে তলিয়ে যায়। এলাকাবাসী নদীতে জাল দিয়ে তল্লািশ চালিয়েও সন্ধ্যা নাগাদ তার লাশ উদ্ধার করতে পারেনি। সে উপজেলার মধ্য বোয়ালখালী এলাকার মো. রফিকের ছেলে৷ মধ্য বোয়ালখালী সরকারি প্রাথমিক বিদ্যালয়ের চতুর্থ শ্রেণির ছাত্র। সাইদুলের বাবা মো. রফিক জানান, গতকাল বিকেলে মধ্য বোয়ালখালী শান্তি লক্ষ্মীপুর মাইনী নদীতে বালু তুলতে গেলে তাঁর সঙ্গে ছেলে সাইদুলও যায়। তিনি যখন নদীতে বালু তুলছিলেন তখন সে নদীর পাড়ে খেলা করছিল। হঠাৎ তিনি নদীতে খেয়াল করেন পানিতে হাত নেড়ে তাঁর ছেলে বাঁচার আকুতি জানাচ্ছে। তিনি নদীতে ঝাঁপ দিয়ে ছেলেকে রক্ষার চেষ্টা করেও বাঁচাতে পারেননি। সে নদীর পানিতে তলিয়ে যায়। পরে স্থানীয় লোকজনের সহযোিগতায় নদীতে জাল দিয়ে তল্লািশ চালিয়েও ছেলের কোনো সন্ধান পাওয়া যায়নি। স্থানীয় ইউনিয়ন পরিষদের সদস্য আবুল কালাম ঘটনার সত্যতা নিশ্চিত করেছেন৷",Human,0
12,"মৌলভীবাজার সদর উপজেলার আমতৈল ইউনিয়নের দেবাই জগৎসী গ্রামে বজ্রপাতে আলমগীর মিয়া (৩৫) নামের এক ব্যক্তির মৃত্যু হয়েছে। গতকাল রোববার সকালে বৃষ্টির সঙ্গে হঠাৎ করে বজ্রপাত শুরু হয়। এ সময় আলমগীরের মৃত্যু হয়। তিনি ওই গ্রামের মো. আকলু মিয়ার ছেলে। আমতৈল ইউনিয়ন পরিষদের (ইউপি) চেয়ারম্যান সুজিত দাস প্রথম আলোকে বলেন, ‘আমি বজ্রপাতে আলমগীরের মৃত্যুর বিষয়টি এলাকাবাসীর মাধ্যমে শুনেছি৷’",Human,0
